address,name,stakedLQTY,heldLQTY,totalLQTY
0xcfb5f1a901814bdfb6b5e808c9eb940b9e07fd12,,27367.678202595707,-0.000000000000000095000000000000000000,27367.678202595706999905000000000000000000
0x1a8c53147e7b61c015159723408762fc60a34d17,,,27303.750591191024125000000000000000000000,27303.750591191024125000000000000000000000
0x6f7bf13e057305d04abd72e637e491cc30569f43,,26000.000000000000,0.00000000000000048800,26000.00000000000000048800
0x92c0a103d3f1321938f05ba8541fd362644f16d4,,25624.961904650012,0.000000000000200100000000000000000000,25624.961904650012200100000000000000000000
0x6664ed90bdb9c8bc89ae4bc8d8b3a3f5f6ce92d8,,24575.079999999998,709.516238854925562804000000000000000000,25284.596238854923562804000000000000000000
0x707f18262088e7a8b0d10b7f0c14b50d1cd2b019,,,25123.074448181531007911000000000000000000,25123.074448181531007911000000000000000000
0x0b91d8074aa81c9fad6c768aebca10cc090381e8,,24678.180367848030,0.000000000000695800000000000000000000,24678.180367848030695800000000000000000000
0x6914fc70fac4cab20a8922e900c4ba57feecf8e1,,0.000000000000000000000000000000000000,24000.000005790713790800000000000000000000,24000.000005790713790800000000000000000000
0xf366bb8fa0e4019d5f68c6e97d31883f3660fa6d,,,23697.9574195492555107,23697.9574195492555107
0x9c0d72f2ac26420cb7eeb155bf401b672840e87b,,22915.520000000000,-0.000000000000831124000000000000000000,22915.519999999999168876000000000000000000
0xc9a42111406c98e5d99a5aba606cc95821c83951,,22512.843197720012,0.000000000000000054000000000000000000,22512.843197720012000054000000000000000000
0x1e90e7404c8ca3333d86bc81d586449a99a5791a,,22284.090000000000,0.0031829759177234,22284.0931829759177234
0xb6647cae065c321e75775b50a25fd54e9ac5c436,,22061.899999999998,-0.000000000000000154000000000000000000,22061.899999999997999846000000000000000000
0x62f4f41b75cdd5e2455f897582e0a56198390569,,21971.890000000000,0.005005146720,21971.895005146720
