endDate,TVL (ETH),TVL (USD)
2021-05-28T08:39:00+00:00,918665.956038726932370981000000000000000000,2353061793.138035
2021-05-28T09:48:00+00:00,918705.238738726932370981000000000000000000,2296827406.213529
2021-05-28T10:59:00+00:00,917893.238738726932370981000000000000000000,2297716249.8727183
2021-05-28T11:40:00+00:00,917930.151005420932054881000000000000000000,2277274553.026329
2021-05-28T12:58:00+00:00,917943.845139803428090981000000000000000000,2357169641.0575986
2021-05-28T13:01:00+00:00,917943.845139803428090981000000000000000000,2391500740.8658276
2021-05-28T14:40:00+00:00,918311.634839803428090981000000000000000000,2350455361.8378706
2021-05-28T15:57:00+00:00,919394.960994959428090981000000000000000000,2353761427.5424156
2021-05-28T16:53:00+00:00,919390.960994959428090981000000000000000000,2322160913.642629
2021-05-28T17:48:00+00:00,919437.560994959428090981000000000000000000,2304763328.5216746
2021-05-28T18:47:00+00:00,919627.698894959428090981000000000000000000,2313065980.8145795
2021-05-28T19:53:00+00:00,920207.180394959428090981000000000000000000,2302606821.2868953
2021-05-28T20:26:00+00:00,920223.092694494114030981000000000000000000,2311324341.9207606
2021-05-28T21:57:00+00:00,920452.740678379103795281000000000000000000,2184169921.937946
2021-05-28T22:53:00+00:00,920555.195266478216416481000000000000000000,2191906358.7931533
2021-05-28T23:56:00+00:00,921700.581766478216416481000000000000000000,2231344938.398467
2021-05-29T00:37:00+00:00,921742.781366478216416481000000000000000000,2262260960.5911884
2021-05-29T01:57:00+00:00,922039.544866478216416481000000000000000000,2324913491.985376
2021-05-29T02:54:00+00:00,922062.435266478216416481000000000000000000,2313971005.0473433
2021-05-29T03:42:00+00:00,922038.694766478216416481000000000000000000,2327207224.8166957
2021-05-29T04:36:00+00:00,922040.964966478216416481000000000000000000,2328678999.8903885
2021-05-29T05:58:00+00:00,921959.564966478216416481000000000000000000,2347004805.7482147
2021-05-29T06:57:00+00:00,922009.565815005410589843000000000000000000,2330545139.319273
2021-05-29T07:24:00+00:00,921956.565815005410589843000000000000000000,2327719059.1070933
2021-05-29T08:58:00+00:00,922373.815815005410589843000000000000000000,2268550728.7825313
2021-05-29T09:34:00+00:00,922676.740715005410589843000000000000000000,2220772193.6921325
2021-05-29T10:51:00+00:00,923570.800815005410589843000000000000000000,2242402197.2548084
2021-05-29T11:55:00+00:00,923612.902535545788554026000000000000000000,2270434473.141904
2021-05-29T12:59:00+00:00,924038.781848641058077034000000000000000000,2213396296.1011424
2021-05-29T13:52:00+00:00,925749.281848641058077034000000000000000000,2203255518.32131
2021-05-29T14:50:00+00:00,925259.889479781058077034000000000000000000,2194957025.4173055
2021-05-29T15:45:00+00:00,925262.389479781058077034000000000000000000,2157471324.045584
2021-05-29T16:48:00+00:00,925729.489479781058077034000000000000000000,2183129340.450378
2021-05-29T17:57:00+00:00,926371.803822754295297619000000000000000000,2109598717.6914437
2021-05-29T18:53:00+00:00,926302.432682754295297619000000000000000000,2095425785.0689657
