hour,totalLusdPaid,totalLusdClaimed,totalEthPaid,totalEthClaimed
2021-11-28T18:00:00+00:00,20898496.567197614532007422000000000000000000,18969353.145326804383511214000000000000000000,969.084681048885217238000000,856.572748311834644965000000000000000000
2021-11-28T19:00:00+00:00,20898546.583388934998025322000000000000000000,18969353.145326804383511214000000000000000000,969.084681048885217238000000,856.572748311834644965000000000000000000
2021-11-28T20:00:00+00:00,20898546.583388934998025322000000000000000000,18970377.605179482008103414000000000000000000,969.084681048885217238000000,856.696930414601107349000000000000000000
2021-11-28T21:00:00+00:00,20900682.204074791263063222000000000000000000,18970883.083642312604844314000000000000000000,969.084681048885217238000000,856.697215865747063772000000000000000000
2021-11-28T22:00:00+00:00,20900779.393195213199526422000000000000000000,18970883.083642312604844314000000000000000000,969.084681048885217238000000,856.697215865747063772000000000000000000
2021-11-28T23:00:00+00:00,20901509.589665580655646822000000000000000000,18971015.302073621503116314000000000000000000,969.084681048885217238000000,856.697243713111187772000000000000000000
2021-11-29T00:00:00+00:00,20901509.589665580655646822000000000000000000,18971015.302073621503116314000000000000000000,969.084681048885217238000000,856.697243713111187772000000000000000000
2021-11-29T01:00:00+00:00,20902904.955319238453405822000000000000000000,18971015.302073621503116314000000000000000000,969.084681048885217238000000,856.697243713111187772000000000000000000
2021-11-29T02:00:00+00:00,20902904.955319238453405822000000000000000000,18979358.097419995654719314000000000000000000,969.084681048885217238000000,857.713768614183738972000000000000000000
2021-11-29T04:00:00+00:00,20903034.470394998069049822000000000000000000,18979358.097419995654719314000000000000000000,971.440347990814514938000000,857.713768614183738972000000000000000000
2021-11-29T05:00:00+00:00,20903463.039303763316409522000000000000000000,18980508.517162922120486714000000000000000000,971.440347990814514938000000,857.719371075050858669000000000000000000
2021-11-29T06:00:00+00:00,20903474.667793276031941522000000000000000000,18980508.517162922120486714000000000000000000,971.440347990814514938000000,857.719371075050858669000000000000000000
2021-11-29T07:00:00+00:00,20903474.667793276031941522000000000000000000,18981511.442648941665811614000000000000000000,971.440347990814514938000000,857.739597604119435158000000000000000000
2021-11-29T08:00:00+00:00,20905100.435936487720330222000000000000000000,18981511.442648941665811614000000000000000000,971.440347990814514938000000,857.739597604119435158000000000000000000
2021-11-29T09:00:00+00:00,20908330.496103660492523022000000000000000000,18981511.442648941665811614000000000000000000,971.440347990814514938000000,857.739597604119435158000000000000000000
2021-11-29T10:00:00+00:00,20908434.594361844429915322000000000000000000,18981511.442648941665811614000000000000000000,971.440347990814514938000000,857.739597604119435158000000000000000000
2021-11-29T11:00:00+00:00,20909272.971497472083558522000000000000000000,18984816.596574316209057314000000000000000000,971.440347990814514938000000,857.751445245476134771000000000000000000
2021-11-29T12:00:00+00:00,20909827.522453998039584522000000000000000000,18984846.844191003858777914000000000000000000,971.440347990814514938000000,857.751534768033872341000000000000000000
2021-11-29T13:00:00+00:00,20910005.296547950031768022000000000000000000,18984846.844191003858777914000000000000000000,971.440347990814514938000000,857.751534768033872341000000000000000000
2021-11-29T15:00:00+00:00,20910005.296547950031768022000000000000000000,18994080.424895236831100014000000000000000000,971.440347990814514938000000,858.536936619708408002000000000000000000
2021-11-29T16:00:00+00:00,20914048.694153776321415722000000000000000000,18994080.424895236831100014000000000000000000,971.440347990814514938000000,858.536936619708408002000000000000000000
2021-11-29T17:00:00+00:00,20914266.144769468065041622000000000000000000,18994080.424895236831100014000000000000000000,971.440347990814514938000000,858.536936619708408002000000000000000000
2021-11-29T18:00:00+00:00,20915266.267117638478140122000000000000000000,18994080.424895236831100014000000000000000000,971.440347990814514938000000,858.536936619708408002000000000000000000
2021-11-29T19:00:00+00:00,20915934.477936148177717022000000000000000000,18995104.477055392596916414000000000000000000,971.440347990814514938000000,858.540955336619355851000000000000000000
2021-11-29T20:00:00+00:00,20916095.090102176231237022000000000000000000,18995104.477055392596916414000000000000000000,971.440347990814514938000000,858.540955336619355851000000000000000000
2021-11-29T21:00:00+00:00,20916095.090102176231237022000000000000000000,19001979.118539744965197014000000000000000000,971.440347990814514938000000,859.144237573366452982000000000000000000
2021-11-29T22:00:00+00:00,20916174.939537259896212422000000000000000000,19003426.551539216538045614000000000000000000,971.440347990814514938000000,859.186774119871453198000000000000000000
2021-11-29T23:00:00+00:00,20917853.063807172720979822000000000000000000,19003507.806799052131393514000000000000000000,971.440347990814514938000000,859.197605402622669650000000000000000000
2021-11-30T00:00:00+00:00,20918033.047328440036830522000000000000000000,19003507.806799052131393514000000000000000000,971.440347990814514938000000,859.197605402622669650000000000000000000
2021-11-30T02:00:00+00:00,20919357.272631484017132522000000000000000000,19086046.481120144241393514000000000000000000,971.440347990814514938000000,859.448013481924419650000000000000000000
2021-11-30T03:00:00+00:00,20919846.766951230423980422000000000000000000,19086046.481120144241393514000000000000000000,971.440347990814514938000000,859.448013481924419650000000000000000000
2021-11-30T04:00:00+00:00,20924554.357584599136796022000000000000000000,19086232.390080720781857214000000000000000000,971.440347990814514938000000,859.471680744409157645000000000000000000
2021-11-30T05:00:00+00:00,20924992.500141646438891722000000000000000000,19086232.390080720781857214000000000000000000,971.440347990814514938000000,859.471680744409157645000000000000000000
2021-11-30T07:00:00+00:00,20925018.479498788480156722000000000000000000,19112025.151195748593373714000000000000000000,971.440347990814514938000000,859.543750085274129895000000000000000000
2021-11-30T08:00:00+00:00,20925018.479498788480156722000000000000000000,19113103.910856984422893714000000000000000000,971.440347990814514938000000,859.546501043407279895000000000000000000
2021-11-30T09:00:00+00:00,20925018.479498788480156722000000000000000000,19116091.695115845442512914000000000000000000,971.440347990814514938000000,859.562429769229462851000000000000000000
2021-11-30T10:00:00+00:00,20925018.479498788480156722000000000000000000,19116886.046846495861731914000000000000000000,971.440347990814514938000000,859.652323134655010486000000000000000000
2021-11-30T11:00:00+00:00,20926229.385733955125206722000000000000000000,19120288.462554060940797814000000000000000000,971.440347990814514938000000,859.812865760545267141000000000000000000
2021-11-30T12:00:00+00:00,20926486.479630575112779622000000000000000000,19120317.489719680216292314000000000000000000,971.440347990814514938000000,859.812968587440004414000000000000000000
