hour,lusdIn,lusdOut,virtualLiquidity
2021-12-17T00:00:00+00:00,34793.4498824810857894,0,559722.096489775781
2021-12-17T01:00:00+00:00,46446.959698383630,0,559722.096489775781
2021-12-17T02:00:00+00:00,0,-150568.985726789527,148689.276617116620
2021-12-17T03:00:00+00:00,0,-35884.914942748501,50738.604817448639
2021-12-17T04:00:00+00:00,2610.4749167740554341,0,50738.604817448639
2021-12-17T05:00:00+00:00,,,50738.604817448639
2021-12-17T06:00:00+00:00,,,50738.604817448639
2021-12-17T07:00:00+00:00,128990.737785430743,0,227920.477293423348
2021-12-17T08:00:00+00:00,,,227920.477293423348
2021-12-17T09:00:00+00:00,1000.0000000000000000,-103508.941925118126,227920.477293423348
2021-12-17T10:00:00+00:00,186462.780214677177,-127433.635072926827,227920.477293423348
2021-12-17T11:00:00+00:00,57180.471149998435,-100189.675793433933,227920.477293423348
2021-12-17T12:00:00+00:00,57834.563181768742,0,227920.477293423348
2021-12-17T13:00:00+00:00,0,-11381.964643539186,227920.477293423348
2021-12-17T14:00:00+00:00,52137.483494680190,0,227920.477293423348
2021-12-17T15:00:00+00:00,34672.858858257936,-214055.809027675349,136209.629201542451
2021-12-17T16:00:00+00:00,0,-29749.699076811749,50738.604817448639
2021-12-17T17:00:00+00:00,,,50738.604817448639
2021-12-17T18:00:00+00:00,194992.564308397360,0,325588.046697334751
2021-12-17T19:00:00+00:00,173490.705858106979,0,364688.938718517420
2021-12-17T20:00:00+00:00,140106.210433758261,0,312289.827027992116
2021-12-17T21:00:00+00:00,,,312289.827027992116
