evt_block_time,torn_balance,torn_price,tvl
2022-03-10T07:53:00+00:00,472346.248802374630630100000000000000000000,45.74,21605117.420220617
2022-03-10T08:11:00+00:00,465127.770732654630630100000000000000000000,45.33,21084241.847311232
2022-03-10T08:29:00+00:00,465448.708440248035239100000000000000000000,45.4,21131371.36318726
2022-03-10T11:11:00+00:00,465677.329740248035239100000000000000000000,44.66,20797149.546199474
2022-03-10T13:15:00+00:00,466598.596490063334405700000000000000000000,43.7,20390358.66661577
2022-03-10T13:40:00+00:00,466590.596490063334405700000000000000000000,44.3,20669963.424509805
2022-03-10T13:46:00+00:00,466817.605542042150701200000000000000000000,43.46,20287893.136857152
2022-03-10T14:27:00+00:00,466918.956782042150701200000000000000000000,43.85,20474396.25489255
2022-03-10T14:57:00+00:00,466992.093555951870289300000000000000000000,43.69,20402884.56745954
2022-03-10T15:05:00+00:00,467092.093555951870289300000000000000000000,43.88,20496001.06523517
2022-03-10T15:50:00+00:00,467042.093555951870289300000000000000000000,44.28,20680623.90265755
2022-03-10T16:13:00+00:00,467054.337820907393856300000000000000000000,44.39,20732542.055870082
2022-03-10T18:31:00+00:00,467343.815780907393856300000000000000000000,43.26,20217293.470682055
2022-03-11T04:05:00+00:00,467426.071552686260341700000000000000000000,43.54,20351731.15540396
2022-03-11T04:51:00+00:00,466458.071552686260341700000000000000000000,43.24,20169647.013938155
2022-03-11T05:32:00+00:00,466507.205051515446899300000000000000000000,43.04,20078470.10541722
2022-03-11T06:29:00+00:00,464029.604061645446899300000000000000000000,42.92,19916150.606325824
2022-03-11T06:52:00+00:00,464021.604061645446899300000000000000000000,42.83,19874045.301960275
2022-03-11T09:45:00+00:00,464082.978784875446899300000000000000000000,44.13,20479981.85377655
2022-03-11T11:10:00+00:00,463951.768784875446899300000000000000000000,43.71,20279331.813586906
2022-03-11T14:49:00+00:00,464514.768784875446899300000000000000000000,45.48,21126131.684336133
2022-03-11T15:10:00+00:00,464582.856425417810370700000000000000000000,44.96,20887645.224886786
2022-03-12T00:18:00+00:00,464589.716425417810370700000000000000000000,44.99,20901891.34197955
2022-03-12T05:46:00+00:00,465123.085711741820174700000000000000000000,45.54,21181705.323312722
2022-03-12T08:18:00+00:00,465181.165947866072195500000000000000000000,47.26,21984461.902696148
2022-03-12T08:49:00+00:00,465237.390497866072195500000000000000000000,47.42,22061557.05740881
2022-03-12T09:01:00+00:00,465298.338155785374842600000000000000000000,47.57,22134241.946070712
2022-03-12T09:08:00+00:00,465321.401487271921603500000000000000000000,46.88,21814267.30172331
2022-03-12T09:11:00+00:00,465335.279299111921603500000000000000000000,46.88,21814917.893542368
2022-03-12T10:00:00+00:00,465657.540797290426333900000000000000000000,46.69,21741550.57982549
